cow_id,lactation_number,event,calving_date
10444,6,BRED,2017-12-16
10485,5,BRED,2017-12-25
10609,5,BRED,2018-05-30
10666,5,BRED,2017-11-15
10672,5,BRED,2017-12-29
10725,4,BRED,2018-06-03
10761,4,BRED,2018-03-11
10762,5,BRED,2018-03-30
10766,4,BRED,2018-11-08
10769,4,BRED,2018-09-10
10771,2,BRED,2018-04-26
10772,2,BRED,2018-05-02
10778,2,BRED,2018-03-31
10784,2,BRED,2018-01-01
10785,3,BRED,2019-08-07
10787,2,BRED,2018-07-01
10790,2,BRED,2018-07-08
10794,2,BRED,2018-05-08
10797,2,BRED,2018-06-07
10797,3,BRED,2019-07-22
10804,2,BRED,2018-10-12
10807,2,BRED,2018-12-15
10807,1,BRED,2017-09-23
11001,1,BRED,2017-11-25
11001,2,BRED,2019-02-25
11011,2,BRED,2018-10-10
11012,3,BRED,2019-09-24
11016,1,BRED,2017-09-30
11019,2,BRED,2018-09-15
11021,2,BRED,2018-10-03
11023,2,BRED,2018-10-09
11024,2,BRED,2018-11-18
11026,1,BRED,2017-10-09
11026,2,BRED,2019-01-03
11027,1,BRED,2017-11-26
11028,1,BRED,2017-09-24
11028,2,BRED,2019-01-03
11029,2,BRED,2018-12-20
11030,2,BRED,2019-07-12
11036,2,BRED,2019-04-09
11037,2,BRED,2018-11-24
11039,1,BRED,2017-12-05
11044,2,BRED,2018-11-17
11045,2,BRED,2018-10-05
11047,1,BRED,2018-01-01
11049,2,BRED,2018-09-26
11050,2,BRED,2018-09-13
11053,1,BRED,2017-12-25
11053,2,BRED,2019-01-16
11054,1,BRED,2018-01-03
11058,3,BRED,2019-08-29
11059,2,BRED,2018-12-28
11059,1,BRED,2017-09-24
11064,2,BRED,2018-11-19
11065,2,BRED,2018-09-30
11067,1,BRED,2018-01-02
11067,2,BRED,2019-03-28
11068,2,BRED,2018-09-21
11072,1,BRED,2017-11-09
11081,1,BRED,2017-11-08
11082,1,BRED,2017-11-11
11082,2,BRED,2019-03-06
11084,2,BRED,2018-11-01
11087,1,BRED,2018-01-18
11088,2,BRED,2019-05-26
11088,1,BRED,2018-04-04
11090,2,BRED,2018-11-13
11093,2,BRED,2018-10-18
11095,1,BRED,2018-01-03
11097,1,BRED,2018-01-08
11098,1,BRED,2017-12-25
11099,2,BRED,2018-11-04
11102,1,BRED,2018-03-15
11103,1,BRED,2018-01-03
11107,1,BRED,2017-11-22
11109,1,BRED,2017-11-25
11109,2,BRED,2019-01-07
11111,2,BRED,2019-02-28
11113,2,BRED,2018-11-29
11117,1,BRED,2018-02-05
11119,1,BRED,2018-01-27
11119,2,BRED,2019-04-22
11120,1,BRED,2018-01-08
11123,2,BRED,2018-11-22
11124,1,BRED,2018-01-18
11125,2,BRED,2018-12-27
11126,2,BRED,2019-02-22
11127,1,BRED,2018-03-02
11131,1,BRED,2018-01-24
11131,2,BRED,2019-02-24
11132,1,BRED,2018-04-07
11132,2,BRED,2019-04-13
11139,1,BRED,2018-01-20
11139,2,BRED,2019-04-09
11140,2,BRED,2018-12-21
11140,1,BRED,2017-12-01
11145,1,BRED,2018-06-11
11146,2,BRED,2018-11-23
11148,1,BRED,2017-12-13
11153,1,BRED,2018-02-07
11154,1,BRED,2018-01-19
11156,1,BRED,2017-12-30
11159,1,BRED,2017-12-27
11159,2,BRED,2019-01-06
11160,1,BRED,2018-01-01
11160,2,BRED,2018-11-25
11161,1,BRED,2017-12-11
11162,1,BRED,2018-01-16
11162,2,BRED,2019-01-13
11164,2,BRED,2019-02-12
11165,1,BRED,2018-02-17
11166,2,BRED,2018-12-18
11173,2,BRED,2019-03-19
11174,1,BRED,2018-01-06
11175,1,BRED,2018-01-18
11176,1,BRED,2017-12-05
11180,2,BRED,2019-01-15
11181,1,BRED,2018-01-03
11181,2,BRED,2019-04-29
11182,1,BRED,2018-07-06
11182,2,BRED,2019-08-13
11185,1,BRED,2017-12-30
11186,1,BRED,2018-03-10
11186,2,BRED,2019-04-15
11190,2,BRED,2018-12-03
11194,1,BRED,2018-01-23
11195,2,BRED,2019-04-13
11195,1,BRED,2018-02-22
11196,1,BRED,2018-02-27
11199,2,BRED,2019-01-13
11200,1,BRED,2018-01-24
11206,2,BRED,2019-01-28
11207,1,BRED,2018-01-21
11207,2,BRED,2018-12-14
11208,1,BRED,2018-01-01
11215,2,BRED,2019-01-21
11217,1,BRED,2018-06-21
11218,1,BRED,2018-03-04
11220,1,BRED,2018-01-18
11221,1,BRED,2017-12-30
11227,1,BRED,2018-02-19
11228,1,BRED,2018-03-04
11235,1,BRED,2018-03-01
11240,1,BRED,2018-01-17
11242,2,BRED,2019-01-03
11244,1,BRED,2018-03-13
11245,2,BRED,2019-05-07
11251,1,BRED,2018-06-03
11253,2,BRED,2019-07-17
11253,1,BRED,2018-06-07
11254,1,BRED,2018-01-11
11254,2,BRED,2018-12-23
11256,2,BRED,2019-03-18
11259,1,BRED,2018-02-15
11262,1,BRED,2018-09-04
11263,1,BRED,2018-03-18
11266,1,BRED,2018-03-08
11268,1,BRED,2018-03-04
11268,2,BRED,2019-02-17
11271,2,BRED,2019-03-25
11273,1,BRED,2018-03-15
11274,1,BRED,2018-05-08
11275,1,BRED,2018-04-12
11276,1,BRED,2018-03-03
11279,1,BRED,2018-02-21
11283,1,BRED,2018-02-12
11286,1,BRED,2018-01-29
11287,1,BRED,2018-03-01
11288,1,BRED,2018-04-22
11289,2,BRED,2019-03-27
11289,1,BRED,2018-05-01
11293,1,BRED,2018-06-17
11297,1,BRED,2018-05-23
11297,2,BRED,2019-04-20
11298,1,BRED,2018-05-07
11301,2,BRED,2019-02-19
11303,1,BRED,2018-02-17
11303,2,BRED,2019-01-12
11306,2,BRED,2019-02-18
11310,2,BRED,2019-06-13
